business_id,labels
1000,0 1 2 3 4 5 6 7 8
1001,0 1 8
100,0 1 2 4 5 6 7 8
1006,0 1 2 4 5 6 7
1010,0 1 2 6
101,0 1 2 4 5 6 7
1011,0 3 6
1012,0 2 5 6
1014,1 2 4 5 6 7
1015,0 1 2 5 6
1017,0 2 6 8
1022,0 2 5
1024,0 2 3 4 5 6 8
1026,0 2 4 5 6 7 8
1029,0 1 2 3 4 5 6 8
1030,0 1 2 5 6 8
103,0 2 5 6 8
1031,0 1 2 4 6
1032,0 2 5 6
1035,0 2 5 8
1036,0 1 2 4 5 6 7
1038,1 2 4 6
1039,0
1040,0 1 2 6 8
1041,0 8
1043,0 6
104,0 2 6 8
1044,0 2 6
1046,0 1 2 6
1048,0 1 2 6 8
1052,0 3 8
105,0 1 2 3 5 6 7 8
1054,0 2
1055,0 1 2 5 6
1056,0 1
1057,0 1 2 3 6 8
1059,1 2 3 4 5 6 7 8
1061,0
1063,0 1 2 5 6 7 8
1064,0 1 2 5 6
1065,0 1 2 5 6
1067,0 1 2 6 8
1069,0 8
1070,0 1 2 4 5 6
1073,0 1 2 3 4 5 6 8
1074,0 2 6 8
1075,0 2 3 5 6
1077,0 1 2 4 5 6 8
1079,0 2 6 8
1080,0 2 6
1081,0 1 2 4 5 6 8
108,0 1 2 4 6 8
1082,0 2 6
1083,1 2 4 6 8
1085,0 1 2 4 5 6
1086,0 1 2 5 6
1088,0 2 5 6 7 8
109,0 1 2 4 6 8
1091,0 2 6 8
1092,0 1 2 5 6 8
1093,0 1 8
1094,0 2 5 6
1096,0
1097,0 1 5
1098,0 1 8
1100,0 1 2 3 4 6 8
110,0 1 2 6 8
1101,0 1 2 4 5 6 7
1102,0 8
1103,0 2 6
1105,0 1 2 4 6 8
1106,0 1 2 3 4 5 6 8
1107,0 2 6 8
111,0 2 5 8
1114,1 2 4 6 8
1115,0 1 5
1118,0 1 2 3 4 6 7 8
1119,0 1 2 4 5 6 7 8
112,0 1 2 4 5 6 7
1129,2 6
1130,0 1 2 6 8
1131,0 8
1132,0 2 6 8
1133,0 8
1134,0 2 3 5 6
1136,0 8
1137,0 1 2 3 4 6 8
1138,0 1 2 3 4 5 6 8
1139,0 8
1140,0 1 2 6 8
1142,0 1 2 6
1145,0 1 2 5 6 8
1149,0 1 2 3 4 6 8
1150,0 1 8
115,0 1 2 6 8
1156,0 3 8
1157,1 2 4 5 6 7 8
1158,0 1 2 5 6
1160,1 2 4 6 8
1162,0 5 8
1165,0 1 2 4 6 8
1166,5 6
1167,0 1 2 5 6 8
1168,0 3 6
1169,0 1 5 6 8
1171,0 1 2 5 6
1172,0 1 2 4 5 6 7 8
1175,0 2 5
1176,0
1177,0 6
1179,0
1180,0 1 2 6 8
1181,0 2 5 6
118,0 8
1184,0 1 2 3 4 5 6 7 8
1185,0 2 6 8
1188,0
1189,0 1 2 6 8
1190,0 2 5 6
119,0 1 2 4 5 6 8
1193,0 1 2 5 6
1194,0 1 2 3 4 5 6 7 8
1198,0
1200,0 1 2 3 6 8
1201,0 1 2 4 5 6 8
120,0 1 2 5 6 8
1202,0 1 2 4 6 8
1203,0 1 2 4 6 7 8
1208,0 2 5 6 8
1209,0 2 5 6 8
1211,0 1 2 6 8
1212,0 8
12,0 1 2 4 6 8
1214,0 2 6
1215,0 1 2 5 6
1216,0 1 2 6 8
1219,0 1 2 3 5 6 8
1223,2 3 6
1224,0 1 2 5 6 8
1225,0 1 8
1227,0 1 2 5 6 8
1228,0 1 2 4 5 6 7 8
1229,0 7 8
1230,0 1 2 3 4 6 8
1231,0 1 2 3 5 6 8
1232,0 1 2 5 6 8
1233,0 1 2 6 8
1234,0 1 2 5 6 7 8
1235,0
123,0 8
1236,0 1 2 3 6 8
1238,0 2 6 8
1239,0 1 2 3 5 6 8
1240,0 1 2 6 7 8
1241,0 1 2 5 6 8
1243,0 1 2 5 6 8
1244,0 8
1245,0 1 2 5 6 8
1246,0 1 5
1248,0 3 8
1249,0 3 6 8
1250,0 1 2 3 6 8
1251,0 1 2 5 6 8
1252,0
1253,0 1 2 3 4 5 6 7
125,0 1 3 8
1256,0 1 2 4 6 7
1257,2 6 8
1258,0 1 2 6
1259,0 1 2 3 4 5 6 7 8
1260,0 1 6 7 8
1261,0 1 2 6
1262,0 2 3 8
1264,0 8
1265,0 1 2 3 5 6 8
1268,0 1 2 4 5 6
1269,0 2 8
1270,0 1 5
1271,8
1272,0 1 2 3 8
1273,0 1 2 3 4 5 6 7 8
1274,0 1 2 6 8
1277,0 8
1278,0 1 2 3 6 7 8
1279,0 1 2 3 4 5 6 8
1281,0 1 2 4 6 8
1282,0 1 2 4 5 6 7 8
1283,0 2 6
1284,0 1 2 5 6
1289,0 1 2 6 8
1290,0 1 2 6 8
1291,0 1 2 4 5 6 7 8
1292,0 5 7
129,0 8
1296,0 1 5 6 8
1297,0 2 6 8
1298,0 1 2 3 6 8
1299,0 1 2 5 6 7 8
1303,7 8
1305,0 1 2 6 8
1310,0 1 2 4 5 6 7 8
131,2 3 5 6 8
1312,0 1 2 3 6 7
1313,0 2 3 6
1316,0 2 5 6 8
1317,0 8
1318,2 5
13,0 1 2 3 6 8
1320,0 1 2 6 8
132,1 2 4 5 6 7
1323,2 3 5 6
1324,0 1 2 5 6 7 8
1327,0 8
1328,0 1 2 6
1329,0 1 8
1331,1 2 4 6
1332,0 1 2 6 7 8
1336,0 8
1338,0 1 2 5 6
1339,0 1 2 5 6 7 8
1342,0 5 8
1344,0 8
1346,0 1 2 3 4 5 6 8
1347,0 1 2 5 6
1348,0 2 3 5 6 7 8
1349,0 2 5 6 7
1350,0 2 3 6
135,0 2 6 8
1353,2 3 6
1355,0 1 2 6 8
1356,0 1 2 3 5 6 7
1359,0
1360,0 2 5 6
1361,0 2 5 6
1362,0 1 2 3 5 6 8
1363,0 1 2 4 6 8
1365,0 8
1370,0 1 2 5 6 8
1375,0 6 8
1376,0 1 2 3 5 6 7 8
1378,0
1379,0 1 2 6 8
1382,0 1 2 5 6 7
1386,0 2 6 8
1387,0
1388,0 1 2 6
1389,0
1391,0 1 2 6 8
1392,0 1 2 3 5 6 7 8
1393,0 2 6
1394,0 2 3 5 6
1399,1 2 5 6 7
140,0 1 2 6 8
1402,0 8
1407,0 1 2 4 5 6 8
1409,0 1 2 4 5 6 7
1412,0 2 6 8
1413,0 1 2 5 6
1414,0 1 2 6 8
14,0 8
1415,0 1 2 6 8
1416,0 8
1418,0 1 2 3 4 5 6 7 8
1419,0 1 2 5 6
1420,0 1 2 3 5 6 7 8
1422,0 1 2 5 6
142,0 1 2 3 4 5 6 7 8
1424,0 1 2 3 4 5 6 7 8
1426,0 8
1429,0 1 2 4 5 6 8
1430,0 1 8
1431,0 1 2 6 8
143,0 2 3 5 6 8
1435,0 1 2 5 6 7
1437,0 1 5 8
1439,0 1 2 3 4 5 6 7 8
1441,0 1 2 6 8
1442,0 1 8
1443,0 1 2 5 6
1444,0 1 2 6 8
1445,0 1 2 6 8
1446,0 1 2 3 4 5 6 7 8
1447,0 1 8
1449,0 2 6 8
1450,0 1 2 4 6
1451,0 1 2 3 5 6 8
1453,0 5
145,1 2 4 5 7
1456,0 1 2 6 8
1457,0 1 2 4 5 6 8
1458,0 1 2 6 8
1460,0 1 2 4 5 6 7 8
1462,0 8
1463,0 1 2 5 6
1464,2 5 6
1465,0
1467,0 2 5 6
1468,0 1 2 4 6 8
1469,0 1 2 6 8
1470,0 1 2 6 8
147,0 2 6 8
1473,0 1 2 3 4 6 8
1475,0 1 2 4 5 6 7 8
1478,0 2 6
1479,0
148,0 1 2 5 6
1485,0 2 5 6
1489,0 1 2 4 5 6 8
1490,0 1 2 3 6 8
1494,0 1 2 6 8
1495,0 1 2 6 8
1497,0 2 6
1502,0 1 8
150,0 1 2 6 8
1503,0
1504,0 2 3 6 8
1505,0 1 3 8
1507,0 1 2 6
1512,3 8
1513,0 1 2 3 6 8
1515,0 1 2 6 8
1516,0 1 8
1517,0 1 8
1519,0 1 2 4 5 6 8
1521,0
1525,0 1 2 3 4 5 6 7 8
1527,0 1 3 5 8
1528,0 1 2 6 8
1530,0 8
1533,0 1 2 6 8
153,0 1 8
1535,0 1 2 6 8
1536,0 1 2 3 6 8
1537,0 8
1539,0
154,0 1 2 4 5 6 8
1544,0 2 3 6
1545,0 1 2 4 5 6 8
1546,0 1 2 6
1552,0 1 2 4 5 6 7 8
1554,0 1 2 3 5 6 8
1556,0 1 2 3 5 6 8
1558,0
1560,1
1563,0 1 2 5 6 8
1564,0 1 2 3 4 5 6 7 8
1565,1 2 4 6
1566,0 8
1567,0 1 2 3 6 8
1568,0 1 2 6 8
1570,0 1 2 5 6
1572,0 1 2 4 6 8
1574,0 1 2 5 6 8
157,0
1577,1 2 5 6
1579,0 1 2 3 4 5 6 8
1582,0 1 2 5 6 8
1583,1 2 5 6 8
158,0 1
1584,0 1 2 5 6
1586,0 1 2 3 5 6 8
1587,0
1588,0 2 6
1589,0 1 2 3 4 6 8
1590,0
1591,0
1592,1 3 4 5 6 8
1593,0 1 2 5 6
1594,1 2 6
1601,0 1 2 3 5 6 8
1602,0 1 2 4 6 8
1605,0
1606,0 1 2 3 6 8
1607,0 1 2 6 8
1609,0 1 2 3 5 6
1611,0 1 2 4 5 6 7 8
1613,0 2 6 8
161,0 1 2 4 5 6
1615,0 1 2 6 8
1617,0 2 3 5 6 8
1618,0
1620,0 1 8
162,0 1 2 4 5 6 8
1624,0 1 2 3 5 6 8
1626,0 1 3 5 8
1627,2 4 6 7
1630,0 1 2 6 8
1631,0 1 2 5 6
163,0 8
1633,0 1 2 6
1634,1 2 4 5 6 7
1637,0
1638,0 8
1639,2 5
1640,2 3
1641,0 1 8
164,1 2 3 5 6
1642,0
16,0 1 2 4 6 8
1644,0 1 5 8
1645,0 1 2 4 5 6 7 8
1646,0 1 2 4 5 6 8
1647,0 1 2 3 6
165,0 2 5 6 8
1651,8
1653,0 2 6
1654,0 1 2 4 6 8
1656,0 8
1658,0 1 2 6 8
1661,0 1 2 4 5 6 7 8
1664,0 8
1667,0 1 2 6
1668,0 1 2 5 6
1670,0 1 8
1672,0 5
1674,0 1 2 3 4 6 8
1677,0 1 2 6 8
1680,0 1 2 4 5 6 8
1688,0 1 2 3 6 8
1691,0 1 2 6 7
169,0 1 2 4 5 6 8
1696,0 1 2 6 8
1697,0 1 2 6 8
1698,0 1 2 4 5 6 8
1699,0 8
1705,0 1 2 5 6 8
1706,0 2 6 8
1709,0 1 2 4 5 6 8
1710,0 1
171,0 8
1712,0 1 2 6 8
1717,0 1 2 6 8
1719,0
1724,0 1 2 4 6 8
1725,0 1 2 6 7 8
172,0 3 8
1730,0 1 8
1733,0
1734,0 1 2 4 5 6 8
1735,0
1737,1 2 4 6 8
1738,0 1 2 5 6 8
1740,0 1 6 8
1743,0 8
1748,0 1 2 4 5 6 8
1749,0 8
1750,0 8
1751,0 1 2 6 7 8
1753,0 8
175,0 2 5 6 8
1754,0 3 8
1758,1 2 4 5 6 7 8
1759,0 1 2 4 5 6 8
1760,0 1 2 3 5 6 8
1762,0 1 2 4 5 6 7 8
1763,0 1 2 3 4 5 6 8
1765,0 1 2 6 8
1767,0
1768,0 8
177,0 1 2 5 6 8
1772,0 1 2 4 5 6 8
1773,0 1 2 3 4 5 6 7 8
1776,0 1 8
1777,0
1779,0 1 2 3 6 8
1780,0 1 2 6 8
1783,0 1 2 3 4 6 8
1786,0 1 2 3 5 6 8
1788,0 1 8
1791,0 1 2 4 5 6 7 8
1793,0 1 2 3 4 5 7 8
1794,0 8
1795,0 1 2 5 6 8
179,0 8
1796,0
1799,0 1 2 6 8
1800,0 1 2 5 6 8
180,0 1 2 5 6
1801,0 1 2 4 5 6
1806,0 1 2 6 8
1810,0 1 2 5 6 8
1811,0 1 2 3 5 6 7 8
1812,0 1 2 5 6
1814,5
1820,0 1 2 6 8
18,0 1 2 3 4 5 6 8
1822,0 1 2 6 8
1823,0 1 2 5 6 8
1824,0 1 2 6
1830,0 1 2 6 8
1831,0 1 2 3 6 8
183,0 1 2 5 6 7 8
1835,0 1 2 5 6
1836,0 2 6
1837,0 1 2 4 6 7
1839,0 5
1840,0 1 2 3 4 5 6 7 8
184,0 1 2 5 6 7
1842,0 1 2 6 8
1843,0 1 2 4 5 6 8
